Date,Open,High,Low,Close,Adj Close,Volume
2/12/2019,10.85,10.86,10.76,10.77,10.77,6300600
2/13/2019,10.85,10.87,10.77,10.8,10.8,9532300
2/14/2019,10.65,10.76,10.62,10.76,10.76,8443400
2/15/2019,10.68,10.78,10.64,10.76,10.76,9269100
2/19/2019,10.47,10.57,10.38,10.55,10.55,13443300
2/20/2019,10.62,10.73,10.62,10.7,10.7,6693600
2/21/2019,10.6,10.62,10.49,10.55,10.55,6913200
2/22/2019,10.56,10.68,10.55,10.63,10.63,4644600
2/25/2019,10.83,10.92,10.78,10.81,10.81,7781200
2/26/2019,10.7,10.76,10.62,10.73,10.73,6343700
2/27/2019,10.61,10.73,10.57,10.7,10.7,6812900
2/28/2019,10.69,10.77,10.65,10.72,10.72,6815000
3/1/2019,10.79,10.87,10.74,10.84,10.84,8012100
3/4/2019,10.85,10.87,10.66,10.72,10.72,5650900
3/5/2019,10.72,10.8,10.65,10.77,10.77,5576000
3/6/2019,10.7,10.75,10.68,10.71,10.71,6026600
3/7/2019,10.65,10.71,10.48,10.49,10.49,8304200
3/8/2019,10.41,10.48,10.36,10.47,10.47,6145300
3/11/2019,10.48,10.57,10.46,10.55,10.55,5497300
3/12/2019,10.53,10.55,10.46,10.52,10.52,9129600
3/13/2019,10.53,10.6,10.48,10.55,10.55,10809900
3/14/2019,10.52,10.61,10.48,10.6,10.6,5964500
3/15/2019,10.69,10.77,10.69,10.7,10.7,7108200
3/18/2019,10.7,10.74,10.68,10.72,10.72,5828700
3/19/2019,10.8,10.91,10.79,10.9,10.9,7204100
3/20/2019,10.97,11.04,10.88,10.94,10.94,7616300
3/21/2019,10.94,11.08,10.94,11.06,11.06,5108000
3/22/2019,11.05,11.12,10.86,10.88,10.88,8525300
3/25/2019,10.86,10.88,10.77,10.82,10.82,7322400
3/26/2019,10.86,10.88,10.77,10.82,10.82,4427200
3/27/2019,10.79,10.83,10.67,10.73,10.73,5644900
3/28/2019,10.91,10.94,10.83,10.88,10.88,5429900
3/29/2019,10.93,11.03,10.92,10.93,10.93,5862300
4/1/2019,11.07,11.16,11.03,11.09,11.09,5765400
4/2/2019,11.16,11.26,11.1,11.18,11.18,7661600
4/3/2019,11.2,11.28,11.16,11.2,11.2,7516300
4/4/2019,11.09,11.15,11,11.07,11.07,5658700
4/5/2019,11.17,11.36,11.15,11.32,11.32,9160300
4/8/2019,11.28,11.38,11.27,11.31,11.31,4759200
4/9/2019,11.23,11.26,11.14,11.15,11.15,15865500
4/10/2019,11.12,11.17,11.04,11.08,11.08,15151400
4/11/2019,11.05,11.07,10.9,10.97,10.97,19697600
4/12/2019,10.6,10.71,10.45,10.55,10.55,27590500
4/15/2019,10.61,10.61,10.5,10.57,10.57,15949200
4/16/2019,10.56,10.57,10.36,10.37,10.37,21431800
4/17/2019,10.42,10.46,10.37,10.41,10.41,10317700
4/18/2019,10.45,10.49,10.34,10.39,10.39,18307000
4/22/2019,10.44,10.47,10.39,10.45,10.45,7392500
4/23/2019,10.48,10.64,10.48,10.53,10.53,13314800
4/24/2019,10.62,10.7,10.56,10.58,10.58,12134700
4/25/2019,10.57,10.57,10.4,10.52,10.52,7030200
4/26/2019,10.64,10.68,10.56,10.65,10.65,5366900
4/29/2019,10.69,10.78,10.66,10.75,10.75,6956900
4/30/2019,10.82,10.88,10.75,10.76,10.76,8432300
5/1/2019,10.81,10.88,10.76,10.77,10.77,9212300
5/2/2019,10.64,10.72,10.47,10.57,10.57,12516500
5/3/2019,10.56,10.56,10.07,10.33,10.33,30580400
5/6/2019,10.31,10.52,10.31,10.45,10.45,13121800
5/7/2019,10.44,10.46,10.29,10.34,10.34,13262100
5/8/2019,10.42,10.43,10.26,10.39,10.39,11854500
